         16789652 function calls (16783228 primitive calls) in 30.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6218    0.006    0.000    0.006    0.000 adapters.py:74(__init__)
    12436    0.006    0.000    0.006    0.000 {method 'count' of 'bytes' objects}
     9327    0.006    0.000    0.006    0.000 hooks.py:16(<dictcomp>)
     3109    0.006    0.000    0.104    0.000 models.py:611(prepare_cookies)
     9327    0.006    0.000    0.021    0.000 cookies.py:534(<listcomp>)
     6218    0.006    0.000    0.006    0.000 enum.py:1091(__new__)
     6218    0.006    0.000    0.010    0.000 {function SocketIO.close at 0x0000026EAE1387C0}
    37308    0.006    0.000    0.006    0.000 {method 'values' of 'collections.OrderedDict' objects}
    12437    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.RLock' objects}
     6218    0.006    0.000    0.023    0.000 connectionpool.py:324(_get_timeout)
     3109    0.006    0.000    0.095    0.000 connectionpool.py:244(_get_conn)
    12487    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
     3109    0.006    0.000    0.007    0.000 parse.py:937(urlencode)
     3109    0.005    0.000    0.008    0.000 cookiejar.py:1297(_cookie_attrs)
     6218    0.005    0.000    0.008    0.000 six.py:642(itervalues)
     6218    0.005    0.000    0.011    0.000 contextlib.py:132(__enter__)
     1552    0.005    0.000    0.006    0.000 trackerState.py:29(addTrackedPosition)
     3109    0.005    0.000    0.010    0.000 utils.py:128(super_len)
     3109    0.005    0.000    0.008    0.000 models.py:394(prepare_method)
     3109    0.005    0.000    0.007    0.000 adapters.py:239(cert_verify)
     3109    0.005    0.000    0.057    0.000 response.py:486(_fp_read)
    12436    0.005    0.000    0.005    0.000 {built-in method time.time}
    43532    0.005    0.000    0.005    0.000 parse.py:108(_noop)
     3109    0.005    0.000    1.470    0.000 client.py:1270(endheaders)
     3109    0.005    0.000    0.006    0.000 utils.py:630(unquote_unreserved)
     3109    0.005    0.000    0.049    0.000 message.py:478(items)
     9327    0.005    0.000    0.005    0.000 utils.py:201(<genexpr>)
     5939    0.005    0.000    0.005    0.000 {built-in method builtins.max}
     3109    0.005    0.000    0.048    0.000 models.py:589(prepare_auth)
     6218    0.005    0.000    0.007    0.000 feedparser.py:121(pushlines)
    12436    0.005    0.000    0.005    0.000 {method 'decode' of 'bytearray' objects}
     3109    0.005    0.000    0.006    0.000 models.py:994(raise_for_status)
     3109    0.005    0.000    0.009    0.000 connection.py:196(_prepare_conn)
    34199    0.005    0.000    0.005    0.000 {method 'pop' of 'collections.deque' objects}
     6218    0.005    0.000    0.006    0.000 retry.py:301(<listcomp>)
     3109    0.005    0.000    0.006    0.000 response.py:686(closed)
     6218    0.004    0.000    0.007    0.000 connection.py:237(<genexpr>)
     3109    0.004    0.000    0.042    0.000 response.py:280(release_conn)
    12436    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     3109    0.004    0.000    0.019    0.000 client.py:383(_check_close)
     3109    0.004    0.000    0.004    0.000 {method 'write' of '_io.StringIO' objects}
    24872    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
     3109    0.004    0.000    0.023    0.000 connection.py:100(_set_socket_options)
    35751    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
     3109    0.004    0.000    0.137    0.000 socket.py:499(close)
     3109    0.004    0.000    0.020    0.000 models.py:631(prepare_hooks)
     6218    0.004    0.000    0.004    0.000 socket.py:731(readable)
     1414    0.004    0.000    0.004    0.000 track2Command.py:83(<listcomp>)
     3109    0.004    0.000    0.037    0.000 connectionpool.py:283(_put_conn)
     3109    0.004    0.000    0.004    0.000 encoder.py:105(__init__)
     6218    0.004    0.000    0.005    0.000 {method 'extend' of 'list' objects}
     3109    0.004    0.000    0.004    0.000 utils.py:884(default_user_agent)
     3109    0.004    0.000    0.013    0.000 models.py:731(__bool__)
     3109    0.004    0.000    0.133    0.000 socket.py:495(_real_close)
     6218    0.004    0.000    0.005    0.000 response.py:9(is_fp_closed)
    12436    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     3109    0.004    0.000    0.028    0.000 client.py:412(_close_conn)
     3109    0.004    0.000    0.008    0.000 parse.py:156(username)
    29377    0.004    0.000    0.004    0.000 {method 'popleft' of 'collections.deque' objects}
     6218    0.004    0.000    0.004    0.000 {method 'read' of '_io.StringIO' objects}
     3109    0.004    0.000    0.005    0.000 parse.py:193(_userinfo)
     6218    0.004    0.000    0.004    0.000 six.py:991(ensure_str)
     3109    0.004    0.000    0.014    0.000 sessions.py:107(get_redirect_target)
     6218    0.004    0.000    0.004    0.000 <frozen ntpath>:35(_get_bothseps)
     3109    0.004    0.000    0.004    0.000 client.py:429(flush)
     3109    0.003    0.000    0.011    0.000 retry.py:468(is_retry)
     3109    0.003    0.000    0.013    0.000 connectionpool.py:1095(_normalize_host)
     3109    0.003    0.000    0.004    0.000 cookiejar.py:1290(_cookies_for_request)
     3109    0.003    0.000    0.005    0.000 sessions.py:91(merge_hooks)
     3109    0.003    0.000    0.005    0.000 connection.py:192(_is_using_tunnel)
     6218    0.003    0.000    0.005    0.000 connection.py:132(host)
     3109    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     3109    0.003    0.000    0.010    0.000 models.py:770(is_redirect)
     3109    0.003    0.000    0.009    0.000 models.py:755(ok)
     3109    0.003    0.000    0.005    0.000 client.py:1234(_validate_host)
     3109    0.003    0.000    0.005    0.000 _internal_utils.py:36(unicode_is_ascii)
     6218    0.003    0.000    0.004    0.000 structures.py:60(__len__)
     3109    0.003    0.000    0.003    0.000 socket.py:489(_decref_socketios)
     9327    0.003    0.000    0.003    0.000 request.py:40(__init__)
     3109    0.003    0.000    0.037    0.000 sessions.py:723(<listcomp>)
     6218    0.003    0.000    0.003    0.000 {method 'clear' of 'collections.OrderedDict' objects}
     3109    0.003    0.000    0.003    0.000 connection.py:108(allowed_gai_family)
     9327    0.003    0.000    0.003    0.000 cookiejar.py:44(_debug)
     3109    0.003    0.000    0.004    0.000 request.py:101(set_file_position)
     3109    0.003    0.000    0.003    0.000 {method 'sort' of 'list' objects}
     6218    0.003    0.000    0.004    0.000 message.py:211(is_multipart)
     3109    0.003    0.000    0.003    0.000 {method 'rstrip' of 'bytes' objects}
    12436    0.003    0.000    0.003    0.000 client.py:440(isclosed)
     3109    0.003    0.000    0.412    0.000 sessions.py:454(__exit__)
     6218    0.003    0.000    0.003    0.000 {method 'split' of 'bytes' objects}
     3109    0.003    0.000    0.003    0.000 {method 'pop' of 'collections.OrderedDict' objects}
     3109    0.003    0.000    0.004    0.000 poolmanager.py:303(_merge_pool_kwargs)
     3109    0.003    0.000    0.004    0.000 feedparser.py:208(_pop_message)
    12437    0.003    0.000    0.003    0.000 {method 'release' of '_thread.RLock' objects}
     6218    0.003    0.000    0.003    0.000 response.py:256(<genexpr>)
    12436    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
     3109    0.002    0.000    0.002    0.000 response.py:348(<listcomp>)
     3109    0.002    0.000    0.003    0.000 message.py:330(set_payload)
     6218    0.002    0.000    0.002    0.000 {method 'extend' of 'collections.deque' objects}
    12436    0.002    0.000    0.002    0.000 {method 'seek' of '_io.StringIO' objects}
     3109    0.002    0.000    0.003    0.000 client.py:1217(_validate_method)
